When did it happen,Year,City or County,State,State Abbrv,Address,Total Fatalities,Total Injured,Comment,Venue,Related to School?
16-Feb-88,1988,Sunnyvale,California,CA,"Sunnyvale, California",7,4,"Mass shooting in Sunnyvale (CA), 1988. Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace. He was later arrested and now sits on death row at San Quentin. 7 people died.",Workplace,No
20-May-88,1988,Winnetka,Illinois,IL,"Winnetka, Illinois",2,7,"A 30-year-old woman entered the Hubbard Woods Elementary School with the intent to target her former in-laws' children who she believed attended the school. After shooting a boy in a bathroom down the hall, she entered a second-grade classroom and began shooting the students, killing one and injuring five more. She fled the scene and entered a home, where she injured another young man before turning the gun on herself in a bedroom.",School/College/Uni,Yes
22-Sep-88,1988,Chicago,Illinois,IL,"Chicago, Illinois",5,2,"A 40-year-old Vietnam veteran shot and killed two employees at a Comet Auto Parts in Chicago, Illinois before heading to the Montefiore School to continue the shooting. He injured a city worker and fatally wounded a custodian at the school before he was discovered by police. The shooter opened fire on the officers, injuring one and killing another.",Retail/Wholesale/Services facility,Yes
26-Sep-88,1988,Greenwood,South Carolina,SC,"Greenwood, South Carolina",2,9,"An unemployed 19-year-old man entered the Oakland Elementary School in Greenwood, South Carolina. He was arrested after killing two 8-year-old girls and injuring seven other students and two teachers. He was later found ""guilty but mentally ill.""",School/College/Uni,Yes
14-Dec-88,1988,New Orleans,Louisiana,LA,"New Orleans, Louisiana",0,4,"A 39-year-old post office employee entered the main post office in downtown New Orleans, Louisiana, where he worked with a shotgun. He took his ex-girlfriend as a hostage and was able to hold off police and FBI agents for 13 hours until he surrendered. He injured three co-workers and one FBI agent.",Government facility,No
17-Jan-89,1989,Stockton,California,CA,"Stockton, California",6,30,"An unemployed 24-year-old man arrived to Cleveland Elementary School in Stockton, California. He set his car on fire in the parking lot, before entering the school to begin shooting. The shooter killed five students and injured thirty others including a teacher, before killing himself.",School/College/Uni,Yes
10-Aug-89,1989,Escondido,California,CA,"Escondido, California",4,1,"A 52-year-old ""model"" postal worker murdered his wife in their home before arriving to work at the Orange Glen Post Office in Escondido, California. He then shot and killed two co-workers and injured another before taking the gun to his own head, dying later in a hospital.",Government facility,No
14-Sep-89,1989,Louisville,Kentucky,KY,"Louisville, Kentucky",9,12,"Mass shooting in Louisville (KY), 1989. Joseph T. Wesbecker, 47, gunned down eight people at his former workplace before committing suicide. 9 people died.",Workplace,No
17-Jun-90,1990,Jacksonville,Florida,FL,"Jacksonville, Florida",12,6,"After fatally shooting a man and woman and wounding two teenage boys, the 42-year-old gunman robbed a convenience store at gunpoint on June 17, 1990. The next day, the shooter opened fire at the General Motors Acceptance Corporation car loan office in Jacksonville, Florida, killing seven employees and a customer and injuring four others before turning the gun on himself.",Workplace,No
18-Jun-90,1990,Jacksonville,Florida,FL,"Jacksonville, Florida",10,4,"Mass shooting in Jacksonville (FL), 1990. James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.) 10 people died.",N/A,No
9-Aug-91,1991,Phoenix,Arizona,AZ,"Phoenix, Arizona",9,0,"August 9, 1991, two high school students in the Air Force ROTC program entered a Buddhist monastery intending to steal cameras, golden religious paraphernalia and cash from the monks. After looting the monastery and holding the monks hostage, the boys decided to shoot and kill all nine occupants of the house to leave no witnesses of their crime.",Place of worship,No
10-Oct-91,1991,Ridgewood,New Jersey,NJ,"Ridgewood, New Jersey",3,0,"A 35-year old former postal clerk, apparently seeking revenge for his dismissal, killed his former supervisor with sword and shot her boyfriend at their home. Then entered the post office where he used to work in Ridgewood, New Jersey, and killed two of his former co-workers. After a four-hour standoff with police, the shooter was arrested. Before leaving his apartment, the shooter rigged a homemade bomb of explosives to his front door.",Government facility,No
16-Oct-91,1991,Killeen,Texas,TX,"Killeen, Texas",24,20,"Mass shooting in Killeen (TX), 1991. George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide. 24 people died.",N/A,No
1-Nov-91,1991,Iowa City,Iowa,IA,"Iowa City, Iowa",6,1,"Mass shooting in Iowa City (IA), 1991. Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene. 6 people died.",School/College/Uni,Yes
14-Nov-91,1991,Royal Oak,Michigan,MI,"Royal Oak, Michigan",5,5,"Mass shooting in Royal Oak (MI), 1991. Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide. 5 people died.",Workplace,No
1-May-92,1992,Olivehurst,California,CA,"Olivehurst, California",4,10,"Mass shooting in Olivehurst (CA), 1992. Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death. 4 people died.",School/College/Uni,Yes
11-Sep-92,1992,Amarillo,Texas,TX,"Amarillo, Texas",0,6,"A fight broke out in Amarillo, Texas between two students that ended with one student, a 17-year-old male, pulling a gun out and shooting. Six students were wounded before the shooter was taken into custody.",School/College/Uni,Yes
15-Oct-92,1992,Watkins Glen,New York,NY,"Watkins Glen, New York",5,0,"Mass shooting in Watkins Glen (NY), 1992. John T. Miller, 50, killed four child-support workers in a county office building before turning the gun on himself.  Miller was upset about a court order garnishing his paycheck to cover overdue child-support payments. 5 people died.",N/A,No
14-Dec-92,1992,Great Barrington,Massachusetts,MA,"Great Barrington, Massachusetts",2,4,"An 18-year-old student opened fire at Simon's Rock College of Bard in Great Barrington, Massachusetts. Before turning himself in to police, he killed a student and a teacher and wounded four others.",School/College/Uni,Yes
6-May-93,1993,Dana Point,California,CA,"Dana Point, California",1,5,"After murdering his mother and her dog, a 38-year-old postal employee who had been fired five months prior arrived at the post office in Dana Point, California and shot and killed a former coworker and wounded another. He later shot a man in his garage, a woman motorist, robbed and shot two others at an ATM, totaling five injured victims and one death.",Government facility,No
6-May-93,1993,Dearborn,Michigan,MI,"Dearborn, Michigan",2,2,"A 45-year-old postal mechanic, upset with supervisors and the management of his post office in Dearborn, Michigan, arrived to work and began shooting. He killed a supervisor and wounded two other postal employees before committing suicide.",Government facility,No
1-Jul-93,1993,San Francisco,California,CA,"San Francisco, California",9,6,"Mass shooting in San Francisco (CA), 1993. Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him. 9 people died.",N/A,No
8-Jul-93,1993,Ogden,Utah,UT,"Ogden, Utah",1,3,"A 28-year old student shot and injured three people at a grievance hearing at Weber State University in Odgen, Utah. One of the injured was a State police officer who was able to shoot back, killing the perpetrator.",School/College/Uni,Yes
6-Aug-93,1993,Fayetteville,North Carolina,NC,"Fayetteville, North Carolina",4,8,"Mass shooting in Fayetteville (NC), 1993. Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police. 4 people died.",N/A,No
17-Sep-93,1993,Sheridan,Wyoming,WY,"Sheridan, Wyoming",1,4,"A 29-year-old man recently discharged from the Navy approached a physical education class at Central Middle School in Sheridan, Wyoming and opened fire on its 29 students. He wounded four students before committing suicide in front of the class.",School/College/Uni,Yes
7-Dec-93,1993,Garden City,New York,NY,"Garden City, New York",6,19,"Mass shooting in Garden City (NY), 1993. Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested. 6 people died.",N/A,No
14-Dec-93,1993,Aurora,Colorado,CO,"Aurora, Colorado",4,1,"Mass shooting in Aurora (CO), 1993. Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row. 4 people died.",Workplace,No
16-Dec-93,1993,Chelsea,Michigan,MI,"Chelsea, Michigan",1,2,"After a meeting with school officials in regards to a harassment complaint made by a student, a 39-year-old Chemistry teacher at Chelsea High School in Chelsea, Michigan stormed off with his wife and went home. Still enraged by the allegation, he returned to the school, killing the superintendent and wounding the principal and a teacher before being arrested.",School/College/Uni,Yes
26-May-94,1994,Union,Kentucky,KY,"Union, Kentucky",4,0,"A 17-year-old high school student awoke in the early hours of the day to kill his parents and his sisters in their home. He then kidnapped his prom date at gunpoint and brought her to a classroom, where he held her, a teacher and 22 students hostage before being detained by police.",Residential home/Neighborhood,Yes
20-Jun-94,1994,Fairchild Air Force Base,Washington,WA,"Fairchild Air Force Base, Washington",5,23,"Mass shooting in Fairchild Air Force Base (WA), 1994. Former airman Dean Allen Mellberg, 20, opened fire inside a hospital at the Fairchild Air Force Base before he was shot dead by a military police officer outside. 5 people died.",Military facility,No
7-Nov-94,1994,Wickliffe,Ohio,OH,"Wickliffe, Ohio",1,3,"A 37-year-old man approached the Wickliffe Middle School in Wickliffe, Ohio and shot, killing a custodian. He then wounded a school administrator, a teacher and a police officer before being detained by the police.",School/College/Uni,Yes
30-Dec-94,1994,Brookline,Massachusetts,MA,"Brookline, Massachusetts",2,5,"A man entered a Planned Parenthood clinic, shot and killed the receptionist, and opened fire in the clinic, wounding three others. Several minutes later he entered a Preterm Health Services clinic and shot three people, killing one.",Medical/Care,No
26-Jan-95,1995,Chapel Hill,North Carolina,NC,"Chapel Hill, North Carolina",2,2,"A 26-year-old mentally ill law student in Chapel Hill, North Carolina, was permitted to take unsupervised off-campus trips outside his mental hospital. During this particular trip, he opened fire on passersby, killing two and wounding two others before being arrested. He was found not guilty by reason of insanity and later won a lawsuit against a psychiatrist.",Street/Highway,No
21-Mar-95,1995,Montclair,New Jersey,NJ,"Montclair, New Jersey",4,1,"A 29-year-old former postal laborer entered a post office in Montclair, New Jersey, and robbed the employees at gunpoint. He then killed two postal workers, two customers and wounded another man before fleeing the scene. He was later arrested in his apartment.",Government facility,No
3-Apr-95,1995,Corpus Christi,Texas,TX,"Corpus Christi, Texas",6,0,"Mass shooting in Corpus Christi (TX), 1995. Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide. 6 people died.",Workplace,No
15-Nov-95,1995,Lynnville,Tennessee,TN,"Lynnville, Tennessee",2,1,"A 17-year-old students at Richland High School in Lynnville, Tennessee arrived to school and began shooting. He killed a teacher, a student and wounded another teacher before the gun was wrestled away from him by another teacher.",School/College/Uni,Yes
2-Feb-96,1996,Moses Lake,Washington,WA,"Moses Lake, Washington",3,1,"A 14-year-old student walked into his algebra class at Frontier Junior High School in Moses Lake, Washington shooting and killing his teacher before killing two students, one who had bullied him, and wounding another student in the arm. He then held the class hostage and was tackled and held by a teacher until he was apprehended by police.",School/College/Uni,Yes
9-Feb-96,1996,Fort Lauderdale,Florida,FL,"Fort Lauderdale, Florida",7,0,"A fired maintenance worker in Fort Lauderdale, Florida arrived at his former workplace and began shooting his ex-coworkers, killing five and wounding another before killing himself. The wounded victim later died of his injuries. He was dismissed from the position due to obscene behavior toward park visitors and for failing a drug test, though he attributed his termination to his supervisors' racism.",Government facility,No
15-Aug-96,1996,San Diego,California,CA,"San Diego, California",3,0,"A 36-year-old mechanical engineering graduate student at San Diego State University in San Diego, California was set to defend his Master's thesis for the second time. Instead, he pulled a gun he had stashed in a first aid kit in the room and shot twenty-three rounds into the three professors witnessing his defense, killing all three. He was found and arrested in the room, where he had planned to commit suicide but could not do it.",School/College/Uni,Yes
19-Feb-97,1997,Bethel,Alaska,AK,"Bethel, Alaska",2,2,"A 16-year-old student at Bethel Regional High School in Bethel, Alaska arrived on campus and shot a popular student, killing him. He later shot and killed the school's principal and wounded two others before being arrested.",School/College/Uni,Yes
15-Sep-97,1997,Aiken,South Carolina,SC,"Aiken, South Carolina",4,3,"Mass shooting in Aiken (SC), 1997. Ex-con Hastings Arthur Wise, 43, opened fire at the R.E. Phelon Company in retaliation for being fired after an argument with a supervisor. He attempted suicide by ingesting insecticide, failed, and was executed by the state of South Carolina eight years later. 4 people died.",Workplace,No
1-Oct-97,1997,Pearl,Mississippi,MS,"Pearl, Mississippi",2,7,"A 16-year-old student of Pearl High School in Pearl, Mississippi stabbed his mother to death before heading to school. Once there, he shot and killed his ex-girlfriend and her friend before wounding an additional seven other students. He was stopped while fleeing the incident by a principal with a handgun and was arrested.",School/College/Uni,Yes
1-Dec-97,1997,West Paducah,Kentucky,KY,"West Paducah, Kentucky",3,5,"A 14-year-old student at Heath High School in West Paducah, Kentucky brought stolen guns to campus and began shooting at a prayer group that met every day, killing three students and wounding five others before being arrested. The shooter was later found to have been suffering from paranoid schizophrenia.",School/College/Uni,Yes
18-Dec-97,1997,Orange,California,CA,"Orange, California",5,2,"Mass shooting in Orange (CA), 1997. Former Caltrans employee Arturo Reyes Torres, 41, opened fire at a maintenance yard after he was fired for allegedly selling government materials he'd stolen from work. He was shot dead by police. 5 people died.",Workplace,No
19-Dec-97,1997,Milwaukee,Wisconsin,WI,"Milwaukee, Wisconsin",2,2,"A 37-year-old postal worker in Milwaukee, Wisconsin began shooting at the post office where he was employed. He shot and killed a coworker and wounded his supervisor and another coworker before committing suicide.",Government facility,No
6-Mar-98,1998,Newington,Connecticut,CT,"Newington, Connecticut",5,0,"A 35-year-old disgruntled employee of the State Lottery in Newington, Connecticut arrived at his workplace and began shooting. He killed four of his coworkers and supervisors before committing suicide.",Workplace,No
24-Mar-98,1998,Jonesboro,Arkansas,AR,"Jonesboro, Arkansas",5,10,"Mass shooting in Jonesboro (AR), 1998. Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene. 5 people died.",School/College/Uni,Yes
24-Apr-98,1998,Edinboro,Pennsylvania,PA,"Edinboro, Pennsylvania",1,3,"A 14-year-old student of Park Middle School in Edinboro, Pennsylvania was attending the end-of-the-year dance at an off-campus banquet hall. The student pulled his father's gun from a pocket and began shooting, killing a teacher and wounding another and two students before being arrested.",Restaurant/Café,Yes
21-May-98,1998,Springfield,Oregon,OR,"Springfield, Oregon",4,25,"Spree killing in Springfield (OR), 1998. After he was expelled for having a gun in his locker, Kipland P. Kinkel, 15, a freshman at Thurston High, went on a shooting spree, killing his parents at home and two students at school. Five classmates wrestled Kipland to the ground before he was arrested.    4 people died.",School/College/Uni,Yes
6-Oct-98,1998,Riverside,California,CA,"Riverside, California",0,6,"A 48-year-old U.S. Postal Service employee entered a conference room at City Hall in Riverside, California and began shooting. He wounded the mayor, two council members and three police officers before being shot by police and taken into custody.",Government facility,No
20-Apr-99,1999,Littleton,Colorado,CO,"Littleton, Colorado",15,24,"Two students ages 17 and 18 arrived on their campus at Columbine High School in Littleton, Colorado, planning to kill hundreds of their peers and teachers. After two large propane tank bombs failed to explode, the students began shooting at their classmates, killing twelve and a teacher and wounding twenty-four others. The incident ended when the students killed themselves simultaneously in the library.",School/College/Uni,Yes
20-May-99,1999,Conyers,Georgia,GA,"Conyers, Georgia",0,6,"A 15-year-old student of Heritage High School in Conyers, Georgia arrived on campus and began shooting his fellow students as he was upset over a breakup with his girlfriend. He non-fatally wounded six students before being arrested.",School/College/Uni,Yes
29-Jul-99,1999,Atlanta,Georgia,GA,"Atlanta, Georgia",10,12,"After murdering his wife and children in their home in Atlanta, Georgia over the prior two days, a 44-year-old day trader entered a stock exchange office, killing four and moving on to another office, where he killed an additional five and wounded twelve. He was pursued by police until he committed suicide at a gas station.",Workplace,No
15-Sep-99,1999,Fort Worth,Texas,TX,"Fort Worth, Texas",8,7,"Mass shooting in Fort Worth (TX), 1999. Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide. 8 people died.",Place of worship,No
2-Nov-99,1999,Honolulu,Hawaii,HI,"Honolulu, Hawaii",7,0,"Mass shooting in Honolulu (HI), 1999. Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police. 7 people died.",Workplace,No
6-Dec-99,1999,Fort Gibson,Oklahoma,OK,"Fort Gibson, Oklahoma",0,4,"A 13-year-old student at Fort Gibson Middle School in Fort Gibson, Oklahoma opened fire on his classmates for no apparent reason, wounding four before being stopped by a teacher and taken into custody.",School/College/Uni,Yes
30-Dec-99,1999,Tampa,Florida,FL,"Tampa, Florida",5,3,"Mass shooting in Tampa (FL), 1999. Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings. 5 people died.",Workplace,No
26-Dec-00,2000,Boston,Massachusetts,MA,"Wakefield, Boston, Massachusetts",7,0,"A 42-year-old computer technician at Edgewater Technology in Wakefield, Massachusetts entered his office and began shooting at managers and coworkers, killing seven before he was arrested. He claimed he was sent as a time-traveler to kill Nazis, and his insanity plea was denied.",Workplace,No
26-Dec-00,2000,Wakefield,Massachusetts,MA,"Wakefield, Massachusetts",7,0,"Mass shooting in Wakefield (MA), 2000. Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested. 7 people died.",Workplace,No
5-Feb-01,2001,Melrose Park,Illinois,IL,"Melrose Park, Illinois",6,4,"A 66-year-old fired employee arrived at his former workplace at Navistar in Melrose Park, Illinois with firearms, forced his way past security and began shooting at supervisors and coworkers before committing suicide. He had been scheduled to begin a prison sentence the next day on charges of stealing from his employer.",Workplace,No
5-Mar-01,2001,San Diego,California,CA,"Santee, San Diego, California",2,13,"A 15-year-old student of Santana High School in San Diego, California arrived to school and began shooting at his fellow classmates. Two students were killed and thirteen others were wounded before the shooter was taken into custody.",School/College/Uni,Yes
16-Jan-02,2002,Grundy,Virginia,VA,"Grundy, Virginia",3,3,"A 43-year-old former student of the Appalachian School of Law in Grundy, Virginia arrived on campus and began shooting. He killed the dean, a professor, a student and wounded three others before being arrested.",School/College/Uni,Yes
28-Oct-02,2002,Tucson,Arizona,AZ,"Tucson, Arizona",4,0,"A 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.",School/College/Uni,Yes
9-May-03,2003,Cleveland,Ohio,OH,"Cleveland, Ohio",1,2,"A graduate of the Case Western Reserve University in Cleveland, Ohio began shooting on the school grounds, killing a student and wounding a professor and another student. He was later arrested after holding a building hostage for seven hours.",School/College/Uni,Yes
8-Jul-03,2003,Meridian,Mississippi,MS,"Meridian, Mississippi",7,8,"Mass shooting in Meridian (MS), 2003. Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide. 7 people died.",Workplace,No
27-Aug-03,2003,Chicago,Illinois,IL,"Chicago, Illinois",7,0,"A 36-year-old former employee of Windy City Core Supply in Chicago, Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers, killing six. He was later killed in a shoot-out with the police.",Workplace,No
21-Nov-04,2004,Birchwood,Wisconsin,WI,"Birchwood, Wisconsin",6,2,"A 36-year-old man hunting with companions in the forests of Birchwood, Wisconsin, encountered a group of hunters and began arguing with them over a deer stand that had apparently been on private land. He then opened fire on the hunters as a result of the confrontation, killing six and wounding two others before being arrested five hours later.",Park/Wilderness,No
8-Dec-04,2004,Columbus,Ohio,OH,"Columbus, Ohio",5,7,"Mass shooting in Columbus (OH), 2004. Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale. 5 people died.",N/A,No
24-Feb-05,2005,Tyler,Texas,TX,"Tyler, Texas",3,4,"A 43-year old man opened fire on his ex-wife and son in front of the Smith County Courthouse inTyler, Texas. After wounding three law enforcement officers and killing another civilian, the gunman was killed in a gun battle with officers. The shooter was being sued for unpaid child support.",Government facility,No
12-Mar-05,2005,Brookfield,Wisconsin,WI,"Brookfield, Wisconsin",8,4,"A 44-year-old computer technician about to lose his job in Brookfield, Wisconsin opened fire on a congregation at the Living Church of God, killing the minister, six others and wounding four more before committing suicide.",Place of worship,No
21-Mar-05,2005,Red Lake,Minnesota,MN,"Red Lake, Minnesota",10,5,"Spree killing in Red Lake (MN), 2005. Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide. 10 people died.",School/College/Uni,Yes
30-Jan-06,2006,Goleta,California,CA,"Goleta, California",8,0,"Spree killing in Goleta (CA), 2006. Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide. 8 people died.",Workplace,No
25-Mar-06,2006,Seattle,Washington,WA,"Seattle, Washington",7,2,"Mass shooting in Seattle (WA), 2006. Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide. 7 people died.",N/A,No
24-Aug-06,2006,Essex Junction,Vermont,VT,"Essex Junction, Vermont",2,2,"A 26-year old killed two people and wounded two others in a shooting rampage that began at his ex-girlfriend's home in Essex Junction, Vermont and continued at the elementary school where she worked. Afterward, the shooter went to his friend's house to get more ammunition for the gun he had borrowed from him and shot his friend. He then try to commit suicide by shooting himself twice in the head, but he survived.",Residential home/Neighborhood,Yes
30-Aug-06,2006,Hillsborough,North Carolina,NC,"Hillsborough, North Carolina",1,2,"A 18-year old former student at Orange High School in Hillsborough, North Carolina returned to the school to open fire on students and teachers having lunch outside, injuring two students. The student was apprehended outside the school and he confessed that he had previously killed his own father at their family home.",School/College/Uni,Yes
