GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4,LATITUDE,LONGITUDE
201505280097,2015-05-28,France,Ceret,Animal Liberation Front (ALF),0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,42.485952,2.748826
201504190055,2015-04-19,France,Paris,Jihadi-inspired extremists,0,,,,,1,0,Private Citizens & Property,Religious Figures/Institutions,,Western Europe,Armed Assault,,,Firearms,,,,48.856614,2.3522219
201503250070,2015-03-25,France,Henin-Beaumont,Unknown,0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,50.420087,2.94728
201501110112,2015-01-11,France,Poitiers,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,46.58022400000001,0.340375
201501100119,2015-01-10,France,Ghisonaccia,Unknown,0,,,,,0,0,Business,,,Western Europe,Armed Assault,,,Firearms,,,,42.016837,9.403981000000002
201501090098,2015-01-09,France,Soissons,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,,49.376636,3.32342
201501090097,2015-01-09,France,Vendome,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,,47.792551,1.065343
201501090002,2015-01-09,France,Paris,Jihadi-inspired extremists,0,,,,,5,3,Business,,,Western Europe,Hostage Taking (Barricade Incident),,,Firearms,,,,48.856614,2.3522219
201501090001,2015-01-09,France,Dammartin en Goele,Muslim extremists,0,,,,,2,2,Business,,,Western Europe,Hostage Taking (Barricade Incident),Armed Assault,,Firearms,,,,49.054824,2.683399
201501080091,2015-01-08,France,Saint-Juery,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,,43.9492679,2.211335
201501080090,2015-01-08,France,Aix-les-Bains,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,45.692341,5.908998
201501080002,2015-01-08,France,Le Mans,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Explosives/Bombs/Dynamite,Firearms,,,48.00611000000001,0.199556
201501080001,2015-01-08,France,Paris,Jihadi-inspired extremists,0,,,,,1,1,Police,Government (General),,Western Europe,Armed Assault,,,Firearms,,,,48.856614,2.3522219
201501070005,2015-01-07,France,Port-la-Nouvelle,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,,43.021342,3.043916
201501070002,2015-01-07,France,Paris,Jihadi-inspired extremists,0,,,,,0,1,Private Citizens & Property,,,Western Europe,Armed Assault,,,Firearms,,,,48.856614,2.3522219
201501070001,2015-01-07,France,Paris,Al-Qaida in the Arabian Peninsula (AQAP),0,,,,,12,12,Journalists & Media,Police,Private Citizens & Property,Western Europe,Hostage Taking (Barricade Incident),Armed Assault,,Explosives/Bombs/Dynamite,Firearms,Firearms,,48.856614,2.3522219
201411110070,2014-11-11,France,Gourdon,Animal Liberation Front (ALF),0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.719923,6.979337999999999
201406130105,2014-06-13,France,Uzel,Breton Liberation Front (FLB),0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,48.28039800000001,-2.840971
201406130104,2014-06-13,France,Huelgoat,Breton Liberation Front (FLB),0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,48.364725,-3.745645999999999
201406120071,2014-06-12,France,Bastia,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,42.697283,9.450880999999999
201403160037,2014-03-16,France,Bessieres,Comite d'Action Viticole,0,,,,,0,0,Telecommunication,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.800464,1.606142
201403160036,2014-03-16,France,Bessieres,Comite d'Action Viticole,0,,,,,0,0,Telecommunication,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.800464,1.606142
201401180080,2014-01-18,France,Lezay,The Justice Department,0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,46.26605199999999,-0.011459
201311180036,2013-11-18,France,Paris,Unknown,0,,,,,0,1,Journalists & Media,,,Western Europe,Armed Assault,,,Firearms,,,,48.856614,2.3522219
201206190034,2012-06-19,France,Toulouse,Jihadi-inspired extremists,0,,,,,0,1,Business,,,Western Europe,Hostage Taking (Barricade Incident),,,Firearms,,,,43.604652,1.444209
201203190009,2012-03-19,France,Toulouse,Muslim extremists,0,,,,,4,0,Educational Institution,,,Western Europe,Armed Assault,,,Firearms,,,,43.604652,1.444209
201203150003,2012-03-15,France,Montauban,Muslim extremists,0,,,,,3,0,Military,,,Western Europe,Armed Assault,,,Firearms,,,,44.0221252,1.3529599
201203110021,2012-03-11,France,Toulouse,Muslim extremists,0,,,,,1,0,Military,,,Western Europe,Armed Assault,,,Firearms,,,,43.604652,1.444209
201104090001,2011-04-09,France,Creuse district,Basque Fatherland and Freedom (ETA),1,,,,,0,1,Police,,,Western Europe,Armed Assault,,,Firearms,,,,49.83891,2.163534
201012120007,2010-12-12,France,Chasse-sur-Rhone,Animal Rights Militia,1,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,45.578041,4.812652
200904060001,2009-04-06,France,Bonifacio,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,,41.38717399999999,9.159269
200903200007,2009-03-20,France,Lyon,Unknown,0,,,,,0,10,Private Citizens & Property,,,Western Europe,Armed Assault,,,Firearms,,,,45.764043,4.835659
200901110002,2009-01-11,France,Saint-Denis,Unknown,0,,,,,0,0,Religious Figures/Institutions,Business,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,48.936181,2.357443
200901050014,2009-01-05,France,Toulouse,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.604652,1.444209
200805170002,2008-05-17,France,Corsa du Sud district,Unknown,0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,41.8102633,8.9245343
200804200018,2008-04-20,France,Toulouse,LW,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.604652,1.444209
200712010004,2007-12-01,France,Capbreton,Basque Fatherland and Freedom (ETA),0,,,,,2,0,Police,,,Western Europe,Assassination,,,Firearms,,,,43.637844,-1.420939
200711140020,2007-11-14,France,Ajaccio,Unknown,0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.919229,8.738635
200708280039,2007-08-28,France,Linguizzetta,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,,42.264463,9.473635
200607030006,2006-07-03,France,Marseille,Unknown,0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.296482,5.36978
200604220002,2006-04-22,France,Coti Chiavari,Corsican National Liberation Front (FLNC),1,,,,,0,2,Private Citizens & Property,Private Citizens & Property,,Western Europe,Hostage Taking (Barricade Incident),Bombing/Explosion,,Firearms,Explosives/Bombs/Dynamite,,,41.772597,8.771765
200604050014,2006-04-05,France,Paris,Kurdistan Workers' Party (PKK),1,,,,,0,0,Government (Diplomatic),,,Western Europe,Bombing/Explosion,,,Incendiary,,,,48.856614,2.3522219
200603040004,2006-03-04,France,Unknown,Corsican National Liberation Front (FLNC),0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,Hostage Taking (Kidnapping),,Explosives/Bombs/Dynamite,Firearms,,,41.6262707,-79.6735841
200602090007,2006-02-09,France,Ghisonaccia,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,42.016837,9.403981000000002
200504280008,2005-04-28,France,Ciboure,Basque Fatherland and Freedom (ETA),1,,,,,0,0,Government (General),Police,,Western Europe,Bombing/Explosion,,,Incendiary,,,,43.387537,-1.675432
200503080002,2005-03-08,France,Corte,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,,42.309409,9.149022
200304140006,2003-04-14,France,Cergy,Unknown,0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,49.03561699999999,2.060325
200303290001,2003-03-29,France,Massy,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Bombing/Explosion,,,Incendiary,,,,48.730756,2.27137
200301060002,2003-01-06,France,Paris,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,48.856614,2.3522219
200206010003,2002-01-05,France,Paris,Youths,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,Melee,,,48.856614,2.3522219
200205120004,2002-05-12,France,Toulouse,Neo-Nazi extremists,0,,,,,0,0,NGO,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.604652,1.444209
200204040002,2002-04-04,France,Le Kremlin-Bicetre,Anti-Semitic extremists,0,,,,,0,0,Religious Figures/Institutions,Private Citizens & Property,,Western Europe,Bombing/Explosion,,,Incendiary,,,,48.810108,2.356972
200204020004,2002-04-02,France,Schiltigheim,Unknown,0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,48.60522599999999,7.748453
200204020003,2002-04-02,France,Marseille,Unknown,0,,,,,0,0,Religious Figures/Institutions,Religious Figures/Institutions,,Western Europe,Bombing/Explosion,,,Incendiary,,,,43.296482,5.36978
200202030008,2002-02-03,France,Ventiseri,Unknown,0,,,,,0,0,Private Citizens & Property,,,Western Europe,Bombing/Explosion,,,Incendiary,,,,41.94122,9.330645
200202030002,2002-02-03,France,Ventiseri,Unknown,0,,,,,0,0,Private Citizens & Property,,,Western Europe,Bombing/Explosion,,,Incendiary,,,,41.94122,9.330645
200202020005,2002-02-02,France,Hendaye,Unknown,0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.359399,-1.766148
200202020003,2002-02-02,France,Saint-Jean-de-Luz,Unknown,0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Incendiary,,,,43.388051,-1.663055
200111060003,2001-11-06,France,Borgo,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,,29.738019,-95.43645699999999
200110100001,2001-10-10,France,Pau,Association Totalement Anti-Guerre (ATAG),0,,,,,0,0,Military,,,Western Europe,Bombing/Explosion,,,Incendiary,,,,43.2951,-0.370797
200109300001,2001-09-30,France,Ustaritz,Unknown,0,,,,,0,0,Police,,,Western Europe,Bombing/Explosion,,,Incendiary,,,,43.395936,-1.45459
200109080003,2001-09-08,France,Ixtassou,Unknown,0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,Armed Assault,,Incendiary,,,,43.329845,-1.406347
200108180003,2001-08-18,France,Ajaccio,Corsican National Liberation Front (FLNC),0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.919229,8.738635
200108120001,2001-08-12,France,Paris,Unknown,0,,,,,0,0,Government (Diplomatic),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,48.856614,2.3522219
200011090002,2000-11-09,France,Hendaye,Unknown,0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.359399,-1.766148
200010210002,2000-10-21,France,Cambo-les-Bains,Iparretarrak (IK),1,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.3605565,-1.3999053
200010100006,2000-10-10,France,Paris,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,48.856614,2.3522219
200010100003,2000-10-10,France,Paris,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,48.856614,2.3522219
200008070005,2000-08-07,France,L'Ile Rousse,Unknown,0,,,,,2,1,Private Citizens & Property,,,Western Europe,Assassination,,,Firearms,,,,42.63651,8.937045999999999
200004010003,2000-04-01,France,Dury,Unknown,0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Incendiary,,,,50.249781,3.002522
199910080004,1999-10-08,France,Mont La Rhune,Gazteriak,1,,,,,0,0,Telecommunication,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.3092177,-1.6352634
199909270002,1999-09-27,France,Ajaccio,Armata di Liberazione Naziunale (ALN),1,,,,,0,0,Police,,,Western Europe,Bombing/Explosion,,,Incendiary,,,,41.919229,8.738635
199802060001,1998-02-06,France,Ajaccio,Corsican National Liberation Front (FLNC),0,,,,,1,0,Government (Diplomatic),,,Western Europe,Assassination,,,Firearms,,,,41.919229,8.738635
199712090019,1997-12-09,France,Unknown,Unknown,0,,,,,0,0,Government (General),,,Western Europe,Armed Assault,,,Firearms,,,,41.6262707,-79.6735841
199705160012,1997-05-16,France,Lyon,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,45.764043,4.835659
199701250006,1997-01-25,France,Saint-pee-sur-nivelle,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Incendiary,,,,43.356582,-1.550488
199701090006,1997-01-09,France,Bastia,Unknown,0,,,,,0,1,Police,,,Western Europe,Armed Assault,,,Firearms,,,,42.697283,9.450880999999999
199612200005,1996-12-20,France,Unknown,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,,41.6262707,-79.6735841
199612180013,1996-12-18,France,Bastia,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,,42.697283,9.450880999999999
199612180012,1996-12-18,France,Belgodere,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,,42.58584,9.017958
199612180010,1996-12-18,France,Bastia,Unknown,0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,42.697283,9.450880999999999
199612170011,1996-12-17,France,Vescovato,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,,42.492576,9.439183
199612150004,1996-12-15,France,Bastia,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,42.697283,9.450880999999999
199612070009,1996-12-07,France,Propriano,Unknown,0,,,,,1,0,Military,,,Western Europe,Assassination,,,Firearms,,,,41.6738915,8.901759199999999
199612000001,1996-12-00,France,Saint-Florent,Unknown,0,,,,,0,0,Military,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,42.681846,9.303704
199611120006,1996-11-12,France,Figari,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.48734,9.130112
199610000008,1996-10-00,France,Paris,Unknown,0,,,,,2,0,Terrorists/Non-state Militia,,,Western Europe,Assassination,,,Firearms,,,,48.856614,2.3522219
199610000003,1996-10-00,France,Oletta,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,42.631849,9.358393
199609030010,1996-09-03,France,Bonifacio,Unknown,0,,,,,0,1,Military,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Firearms,,,41.38717399999999,9.159269
199606060005,1996-06-06,France,Ajaccio,Corsican Separatists,0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.919229,8.738635
199605280007,1996-05-28,France,Paris,Unknown,0,,,,,1,0,Government (General),,,Western Europe,Assassination,,,Firearms,,,,48.856614,2.3522219
199605220004,1996-05-22,France,Brando,Corsican National Liberation Front- Historic Channel,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.8771962,-87.6289936
199605190010,1996-05-19,France,Ventiseri,Corsican National Liberation Front- Historic Channel,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.94122,9.330645
199605170006,1996-05-17,France,Bastia,Corsican National Liberation Front- Historic Channel,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,42.697283,9.450880999999999
199605160005,1996-05-16,France,Bastia,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,42.697283,9.450880999999999
199605150008,1996-05-15,France,Bonifacio,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.38717399999999,9.159269
199605150007,1996-05-15,France,Ajaccio,Unknown,0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.919229,8.738635
199605150006,1996-05-15,France,Ajaccio,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.919229,8.738635
199605150005,1996-05-15,France,Ajaccio,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.919229,8.738635
199605140009,1996-05-14,France,Porto-Vecchio,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.591369,9.278311
199605140008,1996-05-14,France,Porto-Vecchio,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.591369,9.278311
199605140006,1996-05-14,France,Ajaccio,Unknown,0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.919229,8.738635
199605000001,1996-05-00,France,Vescovato,Corsican National Liberation Front- Historic Channel,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,42.492576,9.439183
199603290009,1996-03-29,France,Ajaccio,Unknown,0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,41.919229,8.738635
199603100012,1996-03-10,France,Orsay,Unknown,0,,,,,0,0,Journalists & Media,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,30.3002629,-81.7099827
199603080006,1996-03-08,France,Sartene,Unknown,0,,,,,1,0,Government (General),,,Western Europe,Assassination,,,Firearms,,,,41.621822,8.97472
199603070003,1996-03-07,France,Ajaccio,Unknown,0,,,,,0,1,Government (General),,,Western Europe,Assassination,,,Firearms,,,,41.919229,8.738635
199603000001,1996-03-00,France,Reims,Unknown,0,,,,,0,0,Private Citizens & Property,,,Western Europe,Armed Assault,,,Incendiary,,,,49.258329,4.031696
199602190009,1996-02-19,France,Ajaccio,Unknown,0,,,,,1,0,Terrorists/Non-state Militia,,,Western Europe,Assassination,,,Firearms,,,,41.919229,8.738635
199602180007,1996-02-18,France,Porto-Vecchio,Unknown,0,,,,,1,0,Terrorists/Non-state Militia,,,Western Europe,Assassination,,,Firearms,,,,41.591369,9.278311
199602160006,1996-02-16,France,Ajaccio,Unknown,0,,,,,1,0,Terrorists/Non-state Militia,,,Western Europe,Assassination,,,Firearms,,,,41.919229,8.738635
199601010016,1996-01-01,France,Ajaccio,Corsican Separatists,0,,,,,1,0,Government (General),,,Western Europe,Assassination,,,Firearms,,,,41.919229,8.738635
199511240005,1995-11-24,France,Porto-Vecchio,Separatists,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,41.591369,9.278311
199511240004,1995-11-24,France,Porto-Vecchio,Separatists,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,41.591369,9.278311
199511240003,1995-11-24,France,Porto-Vecchio,Separatists,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,41.591369,9.278311
199511220007,1995-11-22,France,Ajaccio,Separatists,0,,,,,0,0,Government (General),,,Western Europe,Armed Assault,,,Firearms,,,,41.919229,8.738635
199510290010,1995-10-29,France,Corte,Unknown,0,,,,,1,0,Government (General),,,Western Europe,Assassination,,,Firearms,Firearms,,,42.309409,9.149022
199510070009,1995-10-07,France,Toulouse,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Incendiary,,,,43.604652,1.444209
199509230003,1995-09-23,France,Paris,Unknown,0,,,,,0,0,Government (General),,,Western Europe,Assassination,,,Firearms,,,,48.856614,2.3522219
199509170014,1995-09-17,France,Paris,Unknown,0,,,,,0,0,Transportation,,,Western Europe,Armed Assault,,,Incendiary,,,,48.856614,2.3522219
199509170012,1995-09-17,France,Cargese,Unknown,0,,,,,1,0,Private Citizens & Property,,,Western Europe,Assassination,,,Firearms,,,,42.13485499999999,8.595837999999999
199509170011,1995-09-17,France,Bastia,Unknown,0,,,,,1,0,Private Citizens & Property,,,Western Europe,Assassination,,,Firearms,,,,42.697283,9.450880999999999
199508310004,1995-08-31,France,Corte,Movement for Self-Determination,0,,,,,1,1,Violent Political Party,,,Western Europe,Assassination,,,Firearms,,,,42.309409,9.149022
199508310003,1995-08-31,France,Bastia,Cuncolta Naziunalista,0,,,,,2,0,Terrorists/Non-state Militia,,,Western Europe,Assassination,,,Firearms,,,,42.697283,9.450880999999999
199507280003,1995-07-28,France,Strasbourg,Kurdistan Workers' Party (PKK),0,,,,,0,0,Government (Diplomatic),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,48.5734053,7.752111299999999
199507260004,1995-07-26,France,Ajaccio,Unknown,0,,,,,2,1,Terrorists/Non-state Militia,,,Western Europe,Assassination,,,Firearms,,,,41.919229,8.738635
199507210012,1995-07-21,France,Bastia,Unknown,0,,,,,1,0,Violent Political Party,,,Western Europe,Assassination,,,Firearms,,,,42.697283,9.450880999999999
199507130044,1995-07-13,France,Ajaccio,Unknown,0,,,,,1,1,Private Citizens & Property,,,Western Europe,Assassination,,,Firearms,,,,41.919229,8.738635
199501100006,1995-01-10,France,Paris,Unknown,0,,,,,1,0,Religious Figures/Institutions,,,Western Europe,Assassination,,,Firearms,,,,48.856614,2.3522219
199410040008,1994-10-04,France,Paris,Unknown,0,,,,,4,6,Police,Private Citizens & Property,,Western Europe,Hostage Taking (Barricade Incident),,,Chemical,Firearms,,,48.856614,2.3522219
199407160003,1994-07-16,France,Dreux,Unknown,0,,,,,1,8,Private Citizens & Property,,,Western Europe,Armed Assault,,,Firearms,,,,48.736134,1.370889
